10,20,1
2,3,1
3,4,1
40,50,1
60,70,1
7,8,1
70,80,1
8,9,1
80,90,1
10,11,1
1,11,1
12,13,1
21,31,1
14,15,1
41,51,1
16,17,1
17,18,1
18,19,1
81,91,1
21,22,1
12,22,1
22,23,1
22,32,1
24,25,1
52,62,1
26,27,1
72,82,1
82,92,1
3,13,1
13,23,1
32,33,1
43,53,1
35,36,1
53,63,1
63,73,1
37,38,1
38,39,1
83,93,1
40,41,1
41,42,1
14,24,1
43,44,1
44,45,1
44,54,1
45,46,1
64,74,1
47,48,1
74,84,1
84,94,1
50,51,1
52,53,1
25,35,1
35,45,1
45,55,1
55,56,1
56,57,1
65,75,1
57,58,1
75,85,1
61,62,1
56,66,1
67,68,1
70,71,1
71,72,1
17,27,1
73,74,1
47,57,1
57,67,1
67,77,1
77,78,1
77,87,1
87,97,1
80,81,1
81,82,1
18,28,1
82,83,1
48,58,1
58,68,1
86,87,1
68,78,1
88,98,1
91,92,1
92,93,1
39,49,1
95,96,1
59,69,1
96,97,1
97,98,1
79,89,1
89,99,1
0,1,2
0,10,2
1,2,2
20,30,2
30,40,2
4,5,2
5,6,2
50,60,2
6,7,2
11,12,2
11,21,2
13,14,2
31,41,2
15,16,2
51,61,2
61,71,2
71,81,2
20,21,2
2,12,2
23,24,2
32,42,2
42,52,2
25,26,2
62,72,2
27,28,2
28,29,2
30,31,2
31,32,2
23,33,2
33,34,2
33,43,2
34,35,2
36,37,2
73,83,2
4,14,2
42,43,2
24,34,2
34,44,2
54,64,2
46,47,2
48,49,2
5,15,2
51,52,2
15,25,2
53,54,2
54,55,2
55,65,2
58,59,2
85,95,2
60,61,2
6,16,2
16,26,2
62,63,2
26,36,2
63,64,2
36,46,2
64,65,2
46,56,2
65,66,2
66,67,2
66,76,2
76,86,2
68,69,2
86,96,2
7,17,2
72,73,2
27,37,2
37,47,2
74,75,2
75,76,2
76,77,2
78,79,2
8,18,2
28,38,2
83,84,2
38,48,2
84,85,2
85,86,2
87,88,2
78,88,2
88,89,2
90,91,2
9,19,2
19,29,2
29,39,2
93,94,2
94,95,2
49,59,2
69,79,2
98,99,2
